feature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ОБЩАЯ ХАРАКТЕРИСТИКА ПРЕДПРИЯТИЙ И ОРГАНИЗАЦИЙ 12.1. ЧИСЛО ПРЕДПРИЯТИЙ И ОРГАНИЗАЦИЙ  (на конец года),56178,62575,68176,75824.0,81733.0,89769.0,89732.0,93338.0,100729.0,103246.0,104469.0,103545.0,108073.0,114717.0,120565.0,128199.0,130808.0,117616.0,117334.0,
ОБЩАЯ ХАРАКТЕРИСТИКА ПРЕДПРИЯТИЙ И ОРГАНИЗАЦИЙ 12.2. ОБОРОТ ОРГАНИЗАЦИЙ (миллиардов  рублей),,,,,,752.387761,911.1758285,1214.2579077999999,1494.8290452,1500.6249247,1795.9789984000001,2374.3201915,2615.1577885,2668.6007320999997,2871.3883932,3123.0,3420.0,3826.4,4379.5286062,
12.3. ИТОГИ ВЫБОРОЧНЫХ ОБСЛЕДОВАНИЙ 12.3.1. Число малых предприятий,,,,,,,,,,,,45.9,47.9,49.6,48.8,,74.6,75.1,72.754,
12.3. ИТОГИ ВЫБОРОЧНЫХ ОБСЛЕДОВАНИЙ 12.3.2. Число малых предприятий на 10 000 человек населения,,,,,,,,,,,,121.0,125.0,129.0,127.0,,192,193,186.6143679263577,
12.3. ИТОГИ ВЫБОРОЧНЫХ ОБСЛЕДОВАНИЙ 12.3.3. Среднесписочная численность работников  (без внешних совместителей),,,,,,,,,,,,324.0,332.0,330.4,330.6,,332.5,332.6,337.44,
12.3. ИТОГИ ВЫБОРОЧНЫХ ОБСЛЕДОВАНИЙ 12.3.4. Оборот малых предприятий,,,,,,,,,,,,504.4,622.9,707.3,729.4,,957.9,964.5,1275.0570258,
"12.4. ИТОГИ СПЛОШНЫХ НАБЛЮДЕНИЙ 12.4.1. Число малых предприятий в 2010, 2015 гг.",,,,,,,,,,,41.5,,,,,70.8,,,,
"12.4. ИТОГИ СПЛОШНЫХ НАБЛЮДЕНИЙ 12.4.2. Число малых предприятий на 10 000 человек населения в 2010, 2015 гг.",,,,,,,,,,,109.6,,,,,183.1,,,,
"12.4. ИТОГИ СПЛОШНЫХ НАБЛЮДЕНИЙ 12.4.3. Среднесписочная численность работников  (без внешних совместителей) в  2010, 2015 гг.",,,,,,,,,,,299.5,,,,,300.1,,,,
"12.4. ИТОГИ СПЛОШНЫХ НАБЛЮДЕНИЙ 12.4.4. Выручка от реализации товаров (работ, услуг) малых предприятий  в 2010, 2015 гг.",,,,,,,,,,,435.1,,,,,1132.9,,,,
ФИНАНСОВЫЙ РЕЗУЛЬТАТ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ 12.5. САЛЬДИРОВАННЫЙ ФИНАНСОВЫЙ РЕЗУЛЬТАТ (ПРИБЫЛЬ МИНУС УБЫТОК) ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ (миллионов рублей),52504,41101,27474,42849,86090,98997,91731.0,139578.0,98200.0,122076.0,140791.0,194617.0,245658.0,219449.0,201333.0,308585.0,358366.0,314185.0,456161.0,
ФИНАНСОВЫЕ РЕЗУЛЬТАТЫ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ  12.6. УДЕЛЬНЫЙ ВЕС УБЫТОЧНЫХ ОРГАНИЗАЦИЙ (в процентах от общего числа организаций),34.6,34.2,41.8,40.9,35.7,38.5,33.4,22.7,23.9,25.8,27.2,24.7,25.1,27.6,26.9,25.0,24.6,28.9,28.8,
12.7. КРЕДИТОРСКАЯ ЗАДОЛЖЕННОСТЬ ОРГАНИЗАЦИЙ 12.7.1. Всего,103146,100982.0,110768.0,116659.0,123022.0,152701.0,199531.0,277607.0,320296.0,436701.0,498290.0,577411.0,652903.0,687419.0,733117,830370.0,940360.0,959719.0,1078763.0,
12.7. КРЕДИТОРСКАЯ ЗАДОЛЖЕННОСТЬ ОРГАНИЗАЦИЙ 12.7.2. Просроченная,35893,31911.0,35450.0,32265.0,27366.0,21116.0,18102.0,14039.0,25578.0,24308.0,19386.0,20279.0,23198.0,24043.0,20018,16500.0,15997.0,15821.0,24144.0,
12.8. ДЕБИТОРСКАЯ ЗАДОЛЖЕННОСТЬ ОРГАНИЗАЦИЙ 12.8.1.  Всего,85883,86092.0,86439.0,93314.0,116218.0,162763.0,210066.0,307124.0,324449.0,435694.0,477482.0,551026.0,637325.0,691735.0,734527,819609.0,863592.0,1077039.0,1284937.0,
12.8. ДЕБИТОРСКАЯ ЗАДОЛЖЕННОСТЬ ОРГАНИЗАЦИЙ 12.8.2. Просроченная,20325,17766.0,18846.0,16766.0,15464.0,14266.0,14128.0,27646.0,33831.0,34868.0,31186.0,34402.0,29806.0,31363.0,45072,22434.0,22621.0,33430.0,38196.0,
"ФИНАНСОВЫЕ РЕЗУЛЬТАТЫ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ  12.9. ЧИСЛЕННОСТЬ РАБОТНИКОВ, ПЕРЕД КОТОРЫМИ ОРГАНИЗАЦИЯ ИМЕЕТ ПРОСРОЧЕННУЮ ЗАДОЛЖЕННОСТЬ ПО ЗАРАБОТНОЙ ПЛАТЕ (на конец года; тысяч человек)",272.886,220.579,198.584,40.832,16.403,5,2.309,0.419,11.951,1.58,3,4,2,4.7,1,2,0.9,0.174,1.493,
ФИНАНСОВЫЕ РЕЗУЛЬТАТЫ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ  12.10. ПРОСРОЧЕННАЯ ЗАДОЛЖЕННОСТЬ ПО ЗАРАБОТНОЙ ПЛАТЕ РАБОТНИКАМ ОРГАНИЗАЦИЙ (на конец года; миллионов рублей),820.458,761.72,772.789,151.598,64.811,23,9.47,6.518,110.517,24.923,43,59,40,120,48,29,13,10.574,99.022,
